sheet,best_model,step_ahead,future_step,feature,predicted_value
培养皿1,persistence,1,3440,1,19.337017
培养皿1,persistence,1,3440,2,15.993021
培养皿1,persistence,1,3440,3,12.678104
培养皿1,persistence,1,3440,4,10.29369
培养皿1,persistence,1,3440,5,8.810701
培养皿1,persistence,1,3440,6,7.327712
培养皿1,persistence,1,3440,7,5.437627
培养皿1,persistence,1,3440,8,4.681593
培养皿1,persistence,1,3440,9,4.303577
培养皿1,persistence,1,3440,10,2.820587
培养皿1,persistence,1,3440,11,2.12271
培养皿1,persistence,1,3440,12,1.948241
培养皿1,persistence,1,3440,13,1.250363
培养皿1,persistence,1,3440,14,0.872347
培养皿1,persistence,1,3440,15,0.756034
培养皿1,persistence,1,3440,16,0.610643
培养皿1,persistence,1,3440,17,0.232626
培养皿1,persistence,1,3440,18,0.116313
培养皿1,persistence,1,3440,19,0.116313
培养皿1,persistence,1,3440,20,0.058156
培养皿1,persistence,1,3440,21,0.145391
培养皿1,persistence,1,3440,22,0.058156
培养皿1,persistence,1,3440,24,0.029078
培养皿1,persistence,2,3441,1,19.337017
培养皿1,persistence,2,3441,2,15.993021
培养皿1,persistence,2,3441,3,12.678104
培养皿1,persistence,2,3441,4,10.29369
培养皿1,persistence,2,3441,5,8.810701
培养皿1,persistence,2,3441,6,7.327712
培养皿1,persistence,2,3441,7,5.437627
培养皿1,persistence,2,3441,8,4.681593
培养皿1,persistence,2,3441,9,4.303577
培养皿1,persistence,2,3441,10,2.820587
培养皿1,persistence,2,3441,11,2.12271
培养皿1,persistence,2,3441,12,1.948241
培养皿1,persistence,2,3441,13,1.250363
培养皿1,persistence,2,3441,14,0.872347
培养皿1,persistence,2,3441,15,0.756034
培养皿1,persistence,2,3441,16,0.610643
培养皿1,persistence,2,3441,17,0.232626
培养皿1,persistence,2,3441,18,0.116313
培养皿1,persistence,2,3441,19,0.116313
培养皿1,persistence,2,3441,20,0.058156
培养皿1,persistence,2,3441,21,0.145391
培养皿1,persistence,2,3441,22,0.058156
培养皿1,persistence,2,3441,24,0.029078
培养皿1,persistence,3,3442,1,19.337017
培养皿1,persistence,3,3442,2,15.993021
培养皿1,persistence,3,3442,3,12.678104
培养皿1,persistence,3,3442,4,10.29369
培养皿1,persistence,3,3442,5,8.810701
培养皿1,persistence,3,3442,6,7.327712
培养皿1,persistence,3,3442,7,5.437627
培养皿1,persistence,3,3442,8,4.681593
培养皿1,persistence,3,3442,9,4.303577
培养皿1,persistence,3,3442,10,2.820587
培养皿1,persistence,3,3442,11,2.12271
培养皿1,persistence,3,3442,12,1.948241
培养皿1,persistence,3,3442,13,1.250363
培养皿1,persistence,3,3442,14,0.872347
培养皿1,persistence,3,3442,15,0.756034
培养皿1,persistence,3,3442,16,0.610643
培养皿1,persistence,3,3442,17,0.232626
培养皿1,persistence,3,3442,18,0.116313
培养皿1,persistence,3,3442,19,0.116313
培养皿1,persistence,3,3442,20,0.058156
培养皿1,persistence,3,3442,21,0.145391
培养皿1,persistence,3,3442,22,0.058156
培养皿1,persistence,3,3442,24,0.029078
培养皿1,persistence,4,3443,1,19.337017
培养皿1,persistence,4,3443,2,15.993021
培养皿1,persistence,4,3443,3,12.678104
培养皿1,persistence,4,3443,4,10.29369
培养皿1,persistence,4,3443,5,8.810701
培养皿1,persistence,4,3443,6,7.327712
培养皿1,persistence,4,3443,7,5.437627
培养皿1,persistence,4,3443,8,4.681593
培养皿1,persistence,4,3443,9,4.303577
培养皿1,persistence,4,3443,10,2.820587
培养皿1,persistence,4,3443,11,2.12271
培养皿1,persistence,4,3443,12,1.948241
培养皿1,persistence,4,3443,13,1.250363
培养皿1,persistence,4,3443,14,0.872347
培养皿1,persistence,4,3443,15,0.756034
培养皿1,persistence,4,3443,16,0.610643
