sheet,best_model,next_step,feature,predicted_value,interval_lower,interval_upper
培养皿1,persistence,3440,1,19.337017,19.243804,19.42578
培养皿1,persistence,3440,2,15.993021,15.924992,16.066742
培养皿1,persistence,3440,3,12.678104,12.618868,12.750419
培养皿1,persistence,3440,4,10.29369,10.244937,10.35017
培养皿1,persistence,3440,5,8.810701,8.768687,8.85636
培养皿1,persistence,3440,6,7.327712,7.305645,7.366942
培养皿1,persistence,3440,7,5.437627,5.402832,5.467686
培养皿1,persistence,3440,8,4.681593,4.658467,4.680234
培养皿1,persistence,3440,9,4.303577,4.280586,4.303577
培养皿1,persistence,3440,10,2.820587,2.799043,2.819746
培养皿1,persistence,3440,11,2.12271,2.109008,2.122091
培养皿1,persistence,3440,12,1.948241,1.94202,1.947664
培养皿1,persistence,3440,13,1.250363,1.247508,1.250363
培养皿1,persistence,3440,14,0.872347,0.863557,0.872073
培养皿1,persistence,3440,15,0.756034,0.753332,0.755813
培养皿1,persistence,3440,16,0.610643,0.609005,0.610463
培养皿1,persistence,3440,17,0.232626,0.232442,0.232626
培养皿1,persistence,3440,18,0.116313,0.112537,0.116277
培养皿1,persistence,3440,19,0.116313,0.115524,0.116313
培养皿1,persistence,3440,20,0.058156,0.058074,0.058156
培养皿1,persistence,3440,21,0.145391,0.145329,0.145391
培养皿1,persistence,3440,22,0.058156,0.058118,0.058156
培养皿1,persistence,3440,24,0.029078,0.029024,0.029078
培养皿2,persistence,3440,1,2.907822,2.890691,2.906978
培养皿2,persistence,3440,2,5.379471,5.35255,5.408269
培养皿2,persistence,3440,3,6.251817,6.229665,6.286947
培养皿2,persistence,3440,4,7.153242,7.110378,7.192347
培养皿2,persistence,3440,5,8.723466,8.689204,8.765999
培养皿2,persistence,3440,6,8.868857,8.818966,8.917684
培养皿2,persistence,3440,7,8.229136,8.183019,8.273503
培养皿2,persistence,3440,8,7.792963,7.763716,7.830229
培养皿2,persistence,3440,9,6.920616,6.893098,6.958336
培养皿2,persistence,3440,10,5.844722,5.812915,5.876639
