step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,13.700994728639753,0,0.0,0.9687434420767478,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,12.649516364377444,0,0.0,0.9135565319056425,0,0.0
20.0,13,0,2,0,13,0,3.0,0.23076923076923078,8.493591485522824,2,3.0,0.6094639196155843,2,3.0
25.0,15,0,0,0,15,0,0.0,0.0,7.260421206359718,0,7.0,0.5310585005477586,0,7.0
30.0,18,0,1,0,18,0,3.0,0.16666666666666666,8.933031808397889,1,3.0,0.5529019322684798,1,3.0
35.0,23,0,3,0,23,0,15.0,0.6521739130434783,11.014322080061442,3,15.0,0.6744728235911867,3,15.0
40.0,23,0,4,4,27,0,32.0,1.391304347826087,9.384132246231166,4,32.0,0.5841406126500027,4,32.0
45.0,21,0,0,8,29,0,0.0,0.0,8.955102192236776,0,21.0,0.6025843984341045,0,21.0
50.0,21,0,5,12,33,0,13.0,0.6190476190476191,8.307556486812132,5,13.0,0.4746625923346817,5,13.0
55.0,21,0,9,14,35,0,50.0,2.380952380952381,6.34757044047525,9,50.0,0.2815606940637651,9,50.0
60.0,22,0,11,16,38,0,102.0,4.636363636363637,5.569704051339357,11,102.0,0.24093144572642455,11,102.0
65.0,25,0,7,19,44,0,64.0,2.56,6.413131364119383,7,123.0,0.42824942612156314,7,123.0
70.0,26,0,2,21,47,0,4.0,0.15384615384615385,7.399845886700016,2,78.0,0.48122559478297544,2,78.0
75.0,29,0,3,21,50,0,15.0,0.5172413793103449,8.695714802504996,3,24.0,0.5559091037719769,3,24.0
80.0,33,0,2,23,56,0,4.0,0.12121212121212122,7.26184958587092,2,21.0,0.47256167805274496,2,21.0
85.0,29,0,6,29,58,0,29.0,1.0,8.232601596019776,6,38.0,0.5010164135428766,6,38.0
90.0,28,0,10,33,61,0,68.0,2.4285714285714284,6.646850928224053,10,77.0,0.24426531788294312,10,77.0
95.0,27,0,7,37,64,0,41.0,1.5185185185185186,6.8618709155211555,7,90.0,0.40380956860167916,7,90.0
100.0,30,0,0,41,71,0,0.0,0.0,9.034697038823543,0,50.0,0.5893175396178595,0,50.0
105.0,29,0,2,44,73,0,6.0,0.20689655172413793,8.948089997151516,2,12.0,0.5277580707847819,2,12.0
110.0,28,0,1,46,74,0,1.0,0.03571428571428571,7.33621591964445,1,9.0,0.3895563079854592,1,9.0
115.0,26,0,8,51,77,0,26.0,1.0,6.386962319638387,8,32.0,0.23636277878926532,8,32.0
120.0,24,0,12,55,79,0,80.0,3.3333333333333335,5.041237378701905,12,86.0,0.17886134531758965,12,86.0
125.0,23,0,15,58,81,0,148.0,6.434782608695652,3.068652130770995,15,154.0,0.12199838960123109,15,154.0
130.0,24,0,11,62,86,0,116.0,4.833333333333333,3.8946863523453668,11,183.0,0.26343235963481904,11,183.0
135.0,28,0,5,62,90,0,17.0,0.6071428571428571,6.2730812276693495,5,150.0,0.34858737103749216,5,150.0
140.0,31,0,1,62,93,0,1.0,0.03225806451612903,8.048713836982232,1,64.0,0.3819644585013348,1,64.0
145.0,31,0,1,65,96,0,6.0,0.1935483870967742,8.634481673130317,1,28.0,0.474505465031211,1,28.0
150.0,31,0,2,70,101,0,15.0,0.4838709677419355,9.931267691186758,2,16.0,0.5916602492721357,2,16.0
155.0,31,0,1,75,106,0,2.0,0.06451612903225806,9.25234075279503,1,2.0,0.5877275972474809,1,2.0
160.0,30,0,6,80,110,0,20.0,0.6666666666666666,7.183878927913455,6,20.0,0.36340954795309655,6,20.0
165.0,30,0,11,85,115,0,68.0,2.2666666666666666,5.73764336509904,11,68.0,0.3257112146927649,11,68.0
170.0,31,0,15,88,119,0,73.0,2.3548387096774195,3.356253044967262,15,115.0,0.19413800853864058,15,115.0
175.0,39,0,10,88,127,0,49.0,1.2564102564102564,6.0199369319818645,10,133.0,0.3324783919050302,10,133.0
180.0,39,0,8,89,128,0,41.0,1.0512820512820513,6.494012842273908,8,119.0,0.29568914274586083,8,119.0
185.0,39,0,5,92,131,0,56.0,1.435897435897436,8.020209127619566,5,104.0,0.39497828389501627,5,104.0
190.0,33,0,4,98,131,0,11.0,0.3333333333333333,6.711273090515689,4,94.0,0.31556152300458246,4,94.0
195.0,34,0,8,102,136,0,28.0,0.8235294117647058,7.039585151813892,8,79.0,0.3229373905459446,8,79.0
200.0,33,0,14,107,140,0,82.0,2.484848484848485,6.503173955447329,14,130.0,0.27955646693037833,14,130.0
