episode,episode_reward,average_waiting_time,average_queue_length,throughput,average_speed
0,-264683.0,192.0,1.8402777777777777,65340.0,6.75
1,-264683.0,192.0,1.8402777777777777,65340.0,6.75
2,-264683.0,192.0,1.8402777777777777,65340.0,6.75
3,-264683.0,192.0,1.8402777777777777,65340.0,6.75
4,-264683.0,192.0,1.8402777777777777,65340.0,6.75
5,-264683.0,192.0,1.8402777777777777,65340.0,6.75
6,-264683.0,192.0,1.8402777777777777,65340.0,6.75
7,-264683.0,192.0,1.8402777777777777,65340.0,6.75
8,-264683.0,192.0,1.8402777777777777,65340.0,6.75
9,-264683.0,192.0,1.8402777777777777,65340.0,6.75
10,-264683.0,192.0,1.8402777777777777,65340.0,6.75
11,-264683.0,192.0,1.8402777777777777,65340.0,6.75
12,-264683.0,192.0,1.8402777777777777,65340.0,6.75
13,-264683.0,192.0,1.8402777777777777,65340.0,6.75
14,-264683.0,192.0,1.8402777777777777,65340.0,6.75
15,-264683.0,192.0,1.8402777777777777,65340.0,6.75
16,-264683.0,192.0,1.8402777777777777,65340.0,6.75
17,-264683.0,192.0,1.8402777777777777,65340.0,6.75
18,-264683.0,192.0,1.8402777777777777,65340.0,6.75
19,-264683.0,192.0,1.8402777777777777,65340.0,6.75
20,-264683.0,192.0,1.8402777777777777,65340.0,6.75
21,-264683.0,192.0,1.8402777777777777,65340.0,6.75
22,-264683.0,192.0,1.8402777777777777,65340.0,6.75
23,-264683.0,192.0,1.8402777777777777,65340.0,6.75
24,-264683.0,192.0,1.8402777777777777,65340.0,6.75
25,-264683.0,192.0,1.8402777777777777,65340.0,6.75
26,-264683.0,192.0,1.8402777777777777,65340.0,6.75
27,-264683.0,192.0,1.8402777777777777,65340.0,6.75
28,-264683.0,192.0,1.8402777777777777,65340.0,6.75
29,-264683.0,192.0,1.8402777777777777,65340.0,6.75
30,-264683.0,192.0,1.8402777777777777,65340.0,6.75
31,-264683.0,192.0,1.8402777777777777,65340.0,6.75
32,-264683.0,192.0,1.8402777777777777,65340.0,6.75
33,-264683.0,192.0,1.8402777777777777,65340.0,6.75
34,-264683.0,192.0,1.8402777777777777,65340.0,6.75
35,-264683.0,192.0,1.8402777777777777,65340.0,6.75
36,-264683.0,192.0,1.8402777777777777,65340.0,6.75
37,-264683.0,192.0,1.8402777777777777,65340.0,6.75
38,-264683.0,192.0,1.8402777777777777,65340.0,6.75
39,-264683.0,192.0,1.8402777777777777,65340.0,6.75
40,-264683.0,192.0,1.8402777777777777,65340.0,6.75
41,-264683.0,192.0,1.8402777777777777,65340.0,6.75
42,-264683.0,192.0,1.8402777777777777,65340.0,6.75
43,-264683.0,192.0,1.8402777777777777,65340.0,6.75
44,-264683.0,192.0,1.8402777777777777,65340.0,6.75
45,-264683.0,192.0,1.8402777777777777,65340.0,6.75
46,-264683.0,192.0,1.8402777777777777,65340.0,6.75
47,-264683.0,192.0,1.8402777777777777,65340.0,6.75
48,-264683.0,192.0,1.8402777777777777,65340.0,6.75
49,-264683.0,192.0,1.8402777777777777,65340.0,6.75
