step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0,0,0,1,0,0.0,0.0,13.150645435048492,0,0.0,0.9289960719204403,0,0.0
10.0,4,0,0,0,4,0,0.0,0.0,14.356158348193999,0,0.0,0.9638471544922722,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,11.001177410075407,0,0.0,0.7879913530128987,0,0.0
20.0,12,0,3,0,12,0,9.0,0.75,9.364106320533844,3,9.0,0.6754522122781444,3,9.0
25.0,17,0,0,0,17,0,0.0,0.0,8.978795141866087,0,5.0,0.6756415552776295,0,5.0
30.0,21,0,2,0,21,0,6.0,0.2857142857142857,10.442383942305668,2,6.0,0.6843583984329588,2,6.0
35.0,25,0,4,1,26,0,22.0,0.88,10.896593041845499,4,22.0,0.6894972333629585,4,22.0
40.0,26,0,5,5,31,0,45.0,1.7307692307692308,9.388817580988505,5,45.0,0.5549654551189145,5,45.0
45.0,26,0,1,9,35,0,4.0,0.15384615384615385,8.311252722008023,1,37.0,0.5384856308327521,1,37.0
50.0,26,0,4,14,40,0,12.0,0.46153846153846156,8.223277227662008,4,13.0,0.5178795468162252,4,13.0
55.0,30,0,9,14,44,0,49.0,1.6333333333333333,6.9434363623684705,9,49.0,0.32459068387189427,9,49.0
60.0,28,0,9,18,46,0,42.0,1.5,5.3749057067102575,9,80.0,0.2446675433245554,9,80.0
65.0,25,0,2,23,48,0,11.0,0.44,6.452626365299198,2,69.0,0.32402277183129363,2,69.0
70.0,28,0,2,24,52,0,4.0,0.14285714285714285,8.98980411949048,2,46.0,0.4681098674798257,2,46.0
75.0,28,0,2,28,56,0,14.0,0.5,10.498159802043647,2,31.0,0.6561080794066507,2,31.0
80.0,27,0,2,33,60,0,24.0,0.8888888888888888,10.588647202601603,2,24.0,0.6687725631624266,2,24.0
85.0,27,0,1,37,64,0,1.0,0.037037037037037035,9.080907841510921,1,3.0,0.5937967778194838,1,3.0
90.0,22,0,5,42,64,0,18.0,0.8181818181818182,7.963263522032649,5,18.0,0.35338145237645385,5,18.0
95.0,22,0,8,47,69,0,55.0,2.5,7.167851886071447,8,55.0,0.3249550838835418,8,55.0
100.0,21,0,4,51,72,0,26.0,1.2380952380952381,6.994379777665258,4,66.0,0.42665733532975136,4,66.0
105.0,25,0,0,52,77,0,0.0,0.0,8.940502216445463,0,29.0,0.5438773951368868,0,29.0
110.0,25,0,2,54,79,0,6.0,0.24,10.107422293926746,2,6.0,0.536157523453121,2,6.0
115.0,27,0,3,58,85,0,4.0,0.14814814814814814,8.984680992583359,3,4.0,0.5315045466184407,3,4.0
120.0,25,0,7,63,88,0,32.0,1.28,7.283691574297303,7,32.0,0.3702940529688192,7,32.0
125.0,26,0,13,66,92,0,84.0,3.230769230769231,6.230776995705544,13,84.0,0.3098667231581195,13,84.0
130.0,27,0,10,69,96,0,66.0,2.4444444444444446,4.549615580326376,10,116.0,0.2639964241515315,10,116.0
135.0,27,0,5,71,98,0,18.0,0.6666666666666666,6.67052820059701,5,102.0,0.3814552578437648,5,102.0
140.0,31,0,1,71,102,0,10.0,0.3225806451612903,8.892915584797235,1,50.0,0.4660404485375384,1,50.0
145.0,30,0,3,74,104,0,5.0,0.16666666666666666,7.717254718427928,3,48.0,0.40556845823160836,3,48.0
150.0,27,0,7,79,106,0,30.0,1.1111111111111112,6.247154854417662,7,70.0,0.1912572607200076,7,70.0
155.0,30,0,15,83,113,0,89.0,2.966666666666667,6.21919872652099,15,129.0,0.3382312000861089,15,129.0
160.0,27,0,12,87,114,0,79.0,2.925925925925926,3.881144380139984,12,155.0,0.23621020958895309,12,155.0
165.0,28,0,5,89,117,0,26.0,0.9285714285714286,5.7190083917006955,5,130.0,0.3128967649415174,5,130.0
170.0,31,0,4,89,120,0,17.0,0.5483870967741935,7.854710711517389,4,76.0,0.3553264332483609,4,76.0
175.0,32,0,4,92,124,0,37.0,1.15625,9.997558220151141,4,59.0,0.5712440290130979,4,59.0
180.0,30,0,1,98,128,0,1.0,0.03333333333333333,8.494219729028442,1,34.0,0.507962105954508,1,34.0
185.0,32,0,7,102,134,0,24.0,0.75,7.9451762929256695,7,38.0,0.42179841055467276,7,38.0
190.0,33,0,13,106,139,0,75.0,2.272727272727273,6.004121554634508,13,89.0,0.3061121012236592,13,89.0
195.0,32,0,18,110,142,0,153.0,4.78125,4.003247683751934,18,167.0,0.14727239556955316,18,167.0
200.0,32,0,17,114,146,0,148.0,4.625,3.3728000013742205,17,221.0,0.16802754756720661,17,221.0
205.0,36,0,12,116,152,0,93.0,2.5833333333333335,4.679181524065573,12,218.0,0.238718193096303,12,218.0
210.0,38,0,10,116,154,0,39.0,1.0263157894736843,6.139225578915368,10,179.0,0.25090102544982756,10,179.0
215.0,39,0,4,119,158,0,18.0,0.46153846153846156,6.771153808209594,4,156.0,0.2956129644191814,4,156.0
220.0,35,4,3,124,159,0,22.0,0.6285714285714286,8.2607470923131,3,105.0,0.4171042564274367,3,105.0
225.0,33,4,2,129,162,0,2.0,0.06060606060606061,7.423175261349834,2,94.0,0.44688488448326547,2,94.0
230.0,33,2,8,134,167,0,29.0,0.8787878787878788,5.93822222346256,8,112.0,0.2696193477172838,8,112.0
235.0,33,0,14,138,171,0,82.0,2.484848484848485,4.612318903124538,14,166.0,0.21820212647168233,14,166.0
240.0,36,0,14,142,178,0,85.0,2.361111111111111,3.734961404946284,14,197.0,0.23449963783602332,14,197.0
245.0,40,0,11,143,183,0,48.0,1.2,4.540745920968005,11,178.0,0.24902388107312112,11,178.0
250.0,44,0,10,143,187,0,35.0,0.7954545454545454,6.711815723110317,10,134.0,0.32129801422805737,10,134.0
255.0,43,0,5,148,191,0,12.0,0.27906976744186046,5.834189499273276,5,151.0,0.31277779621492147,5,151.0
260.0,40,3,7,152,192,0,28.0,0.7,5.923853660235914,7,175.0,0.27415994738236504,7,175.0
265.0,43,0,14,155,198,0,84.0,1.9534883720930232,4.916790146981657,14,231.0,0.22561565192061636,14,231.0
270.0,43,0,20,158,201,0,174.0,4.046511627906977,3.6713857632628173,20,321.0,0.13681821492279408,20,321.0
275.0,42,0,23,163,205,0,183.0,4.357142857142857,2.615222625335837,23,377.0,0.12077849863791665,23,377.0
280.0,42,0,20,165,207,0,139.0,3.3095238095238093,3.1198119414636656,20,356.0,0.0974204146714604,20,356.0
285.0,43,1,17,166,209,0,119.0,2.7674418604651163,4.639340425332592,17,345.0,0.16259758998040577,17,345.0
290.0,42,2,10,168,210,0,99.0,2.357142857142857,6.560711101739467,10,298.0,0.30953537270752257,10,298.0
295.0,36,6,4,174,210,0,62.0,1.7222222222222223,7.817178720626249,4,255.0,0.42520290303171165,4,255.0
300.0,36,4,1,180,216,0,1.0,0.027777777777777776,7.653948145054274,1,215.0,0.47312936239394743,1,215.0
305.0,34,5,6,184,218,0,21.0,0.6176470588235294,6.78754890998805,6,199.0,0.31790046393077903,6,199.0
310.0,35,3,12,189,224,0,73.0,2.085714285714286,5.341344497663736,12,251.0,0.2508887539554308,12,251.0
315.0,38,0,12,193,231,0,70.0,1.8421052631578947,4.371063823587789,12,265.0,0.23969898482812282,12,265.0
320.0,38,0,9,196,234,0,35.0,0.9210526315789473,5.026620667540869,9,223.0,0.26509856341419247,9,223.0
325.0,41,1,7,197,238,0,22.0,0.5365853658536586,5.510270068234082,7,131.0,0.2388836893206188,7,131.0
330.0,41,2,6,200,241,0,24.0,0.5853658536585366,6.482762004869674,6,104.0,0.36017036161947596,6,104.0
335.0,38,3,3,204,242,0,30.0,0.7894736842105263,7.658695345740833,3,86.0,0.43608856429785564,3,86.0
340.0,36,1,3,210,246,0,5.0,0.1388888888888889,6.658301776302479,3,76.0,0.39651151879077706,3,76.0
345.0,36,2,8,215,251,0,33.0,0.9166666666666666,5.830870513020947,8,89.0,0.26617555049079406,8,89.0
350.0,38,0,14,218,256,0,91.0,2.3947368421052633,4.948575522472259,14,147.0,0.22376346709282607,14,147.0
355.0,37,0,15,222,259,0,91.0,2.4594594594594597,3.6755611710530647,15,186.0,0.1832916845663293,15,186.0
360.0,36,0,12,226,262,0,62.0,1.7222222222222223,4.3977756584019305,12,181.0,0.21017230773635592,12,181.0
365.0,37,0,10,226,263,0,46.0,1.2432432432432432,6.274776527921321,10,153.0,0.24157686289440622,10,153.0
370.0,37,0,4,230,267,0,38.0,1.027027027027027,6.896587183467707,4,139.0,0.31139649376389755,4,139.0
375.0,34,0,0,235,269,0,0.0,0.0,7.001741601216392,0,106.0,0.3724532463818228,0,106.0
380.0,33,0,6,240,273,0,19.0,0.5757575757575758,6.153420812678166,6,103.0,0.2835368150014636,6,103.0
385.0,33,0,11,243,276,0,64.0,1.9393939393939394,4.187097569876749,11,148.0,0.15882912083235756,11,148.0
390.0,32,0,13,248,280,0,65.0,2.03125,2.7022083708908977,13,176.0,0.1521599229543273,13,176.0
395.0,32,0,8,249,281,0,35.0,1.09375,3.780199114333941,8,157.0,0.14249307719896478,8,157.0
400.0,34,0,6,249,283,0,24.0,0.7058823529411765,6.320901978206281,6,108.0,0.2029168870673682,6,108.0
405.0,34,0,2,253,287,0,2.0,0.058823529411764705,6.419621879842083,2,121.0,0.3133967854011472,2,121.0
410.0,34,0,8,257,291,0,25.0,0.7352941176470589,5.824306634935777,8,144.0,0.3120358403551027,8,144.0
415.0,34,0,12,261,295,0,77.0,2.264705882352941,4.092289822827227,12,196.0,0.2100944599206205,12,196.0
420.0,35,0,16,262,297,0,82.0,2.342857142857143,2.5048809469230444,16,228.0,0.10706998144941984,16,228.0
425.0,35,0,15,264,299,0,65.0,1.8571428571428572,3.5891838276612966,15,228.0,0.14109842452616433,15,228.0
430.0,42,0,12,264,306,0,67.0,1.5952380952380953,5.837349327288065,12,193.0,0.2528155171325961,12,193.0
435.0,43,1,7,267,310,0,56.0,1.302325581395349,6.945687623375801,7,183.0,0.3392906287744736,7,183.0
